dataset_id,zone_id,municipality,province,review_status,candidate_distributor,candidate_confidence,source_url,source_label,review_notes
andalucia,municipality:granada::colomera,Colomera,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cortes_de_baza,Cortes de Baza,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cortes_y_graena,Cortes y Graena,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cuevas_del_campo,Cuevas del Campo,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cadiar,Cádiar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::castaras,Cástaras,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::cullar_vega,Cúllar Vega,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::dehesas_viejas,Dehesas Viejas,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::dehesas_de_guadix,Dehesas de Guadix,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::deifontes,Deifontes,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::diezma,Diezma,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::domingo_perez_de_granada,Domingo Pérez de Granada,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::dolar,Dólar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::dudar,Dúdar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::durcal,Dúrcal,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::el_pinar,El Pinar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::el_valle,El Valle,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::escuzar,Escúzar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::fornes,Fornes,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::fuente_vaqueros,Fuente Vaqueros,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::gobernador,Gobernador,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::gorafe,Gorafe,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::granada,Granada,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::guadahortuna,Guadahortuna,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::guadix,Guadix,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::guevejar,Güevéjar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::guejar_sierra,Güéjar Sierra,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::huelago,Huélago,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::hueneja,Huéneja,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::huetor_tajar,Huétor Tájar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::huetor_de_santillan,Huétor de Santillán,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::iznalloz,Iznalloz,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::jayena,Jayena,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::jete,Jete,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::juviles,Juviles,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::jatar,Játar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::jerez_del_marquesado,Jérez del Marquesado,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::la_calahorra,La Calahorra,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::la_malaha,La Malahá,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::la_peza,La Peza,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::la_taha,La Taha,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lanjaron,Lanjarón,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::las_gabias,Las Gabias,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lecrin,Lecrín,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lentegi,Lentegí,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lobras,Lobras,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::loja,Loja,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lugros,Lugros,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lachar,Láchar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::lujar,Lújar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::marchal,Marchal,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::moclin,Moclín,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::montefrio,Montefrío,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::montejicar,Montejícar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::moraleda_de_zafayona,Moraleda de Zafayona,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::morelabor,Morelábor,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::murtas,Murtas,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::niguelas,Nigüelas,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::nivar,Nívar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::ogijares,Ogíjares,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::orce,Orce,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::otivar,Otívar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::padul,Padul,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::pedro_martinez,Pedro Martínez,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::peligros,Peligros,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::pinos_puente,Pinos Puente,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::polopos,Polopos,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::policar,Polícar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::puebla_de_don_fadrique,Puebla de Don Fadrique,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::pinar,Píñar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::portugos,Pórtugos,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::quentar,Quéntar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::rubite,Rubite,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::salar,Salar,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::santa_cruz_del_comercio,Santa Cruz del Comercio,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::sorvilan,Sorvilán,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::torre_cardela,Torre-Cardela,Granada,pending_municipal_review,,,,,
andalucia,municipality:granada::torrenueva_costa,Torrenueva Costa,Granada,pending_municipal_review,,,,,
